PY,WG,MPS,Yale,TY,1,2,3,4,Other1,JT,HK,Other2,Minnan,Other3
a,a,a,a,a,a,ar,aa,ah,,,,,,
ai,ai,ai,ai,ai,ai,air,ae,ay,,,,,,
an,an,an,an,an,an,arn,aan,ann,,,,,,
ang,ang,ang,ang,ang,ang,arng,aang,anq,,,,,,
ao,ao,au,au,ao,au,aur,ao,aw,,,,,,
ba,pa,ba,ba,ba,ba,bar,baa,bah,,,,,,
bai,pai,bai,bai,bai,bai,bair,bae,bay,bo,baak,pak,po,pek,peh
ban,pan,ban,ban,ban,ban,barn,baan,bann,,,,,,
bang,pang,bang,bang,bang,bang,barng,baang,banq,,,,,,
bao,pao,bau,bau,bao,bau,baur,bao,baw,,,,,,
bei,pei,bei,bei,bei,bei,beir,beei,bey,,,,,,
ben,pen,ben,ben,ben,ben,bern,been,benn,,,,,,
beng,peng,beng,beng,beng,beng,berng,beeng,benq,,,,,,
bi,pi,bi,bi,bi,bi,byi,bii,bih,,,,,,
bian,pien,bian,byan,bian,bian,byan,bean,biann,,,,,,
biao,piao,biau,byau,biao,biau,byau,beau,biaw,,,,,,
bie,pieh,bie,bye,bie,bie,bye,biee,bieh,,,,,,
bin,pin,bin,bin,bin,bin,byn,biin,binn,,,,,,
bing,ping,bing,bing,bing,bing,byng,biing,binq,,,,,,
bo,po,bo,bwo,bo,bo,bor,boo,boh,,,,,,
bu,pu,bu,bu,bu,bu,bwu,buu,buh,,,,,,
ca,tsa,tsa,tsa,ca,tsa,tsar,tsaa,tsah,,,,,,
cai,tsai,tsai,tsai,cai,tsai,tsair,tsae,tsay,chai,coi,choi,choy,choa,chua
can,tsan,tsan,tsan,can,tsan,tsarn,tsaan,tsann,,,,,,
cang,tsang,tsang,tsang,cang,tsang,tsarng,tsaang,tsanq,,,,,,
cao,tsao,tsau,tsau,cao,tsau,tsaur,tsao,tsaw,,cou,tso,,cho,
ce,tse,tse,tse,ce,tse,tser,tsee,tseh,,,,,,
cen,tsen,tsen,tsen,cen,tsen,tsern,tseen,tsenn,,,,,,
ceng,tseng,tseng,tseng,ceng,tseng,tserng,tseeng,tsenq,,,,,,
cha,cha,cha,cha,cha,cha,char,chaa,chah,,,,,,
chai,chai,chai,chai,chai,chai,chair,chae,chay,,,,,,
chan,chan,chan,chan,chan,chan,charn,chaan,chann,,,,,,
chang,chang,chang,chang,chang,chang,charng,chaang,chanq,,soeng,sheung,,siong,sioh
chao,chao,chau,chau,chao,chau,chaur,chao,chaw,,,,,,
che,che,che,che,che,che,cher,chee,cheh,,,,,,
