PY,WG,MPS,Yale,TY,X1,X2,X3,X4,Other1,JT,HK,Other2,Minn,Other3
cui,tei,jiung,bwo,cih,chy,ar,aa,ah,jehng,baak,pak,choy,pek,peh
diu,ten,shiung,chwa,cuei,tsy,air,ae,ay,joe,coi,choi,do,choa,sioh
dui,tiang,tz,fwo,lyue,tsong,arn,aan,ann,,soeng,sheung,go,siong,tor
jue,kei,tzung,gwun,nyue,el,arng,aang,anq,,daai,kot,goo,png,toh
kui,lien,,jyung,cia,lha,aur,baa,aw,,dyun,kwok,gum,khng,hum
lue,lueh,,jywan,cian,lhai,bar,bae,bah,,got,kam,lew,koh,kwee
nue,mien,,jywe,ciang,lhan,bair,baan,bay,,gwok,leung,lum,kat,ooi
qi,nien,,lya,ciao,lhang,barn,baang,bann,,gam,poon,muk,kiong,kiah
qia,no,,lyan,cie,lhau,barng,beei,banq,,laai,tseun,yum,koeh,lua
qian,nueh,,lyang,cyong,lhe,baur,been,baw,,loeng,yam,sze,hak,neo
qiang,jui,,lyau,ciou,lhei,beir,beeng,bey,,pun,sum,tom,Jao,leow
qiao,jo,,lyou,cyu,lheng,bern,bii,benn,,ceon,shek,eng,hoo,liem
qie,ssu,,lwan,cyuan,lhi,berng,bean,benq,,jam,tam,siew,khong,dy
qin,hsi,,lwun,cyue,lhia,byi,beau,bih,,sam,yim,ip,loa,bhay
qing,hsia,,lwo,cyun,lhian,byn,biee,biann,,taam,yeung,chue,looi,bhe
qiong,hsien,,lywe,rih,lhiang,byng,biin,biaw,,joeng,yiu,,lim,ghoo
qiu,hsiang,,myan,wun,lhiau,bor,biing,bieh,,jip,yip,,lowe,phua
qu,hsiao,,myau,sian,lhie,bwu,boo,binn,,ziu,yuen,,be,koo
quan,hsieh,,mye,siang,lhin,tsar,buu,binq,,zung,,,beh,sng
que,hsin,,myou,siao,lhing,tsair,tsaa,boh,,zhyu,,,phoa,ham
qun,hsing,,mwo,sie,lhiou,tsarn,tsae,buh,,,,,phe,wee
ri,hsiung,,nya,sin,lhong,tsarng,tsaan,tsah,,,,,khu,goh
rui,hsiu,,nyan,sing,lhou,tsaur,tsaang,tsay,,,,,sio,seow
xi,hsu,,nyang,syong,lhu,tser,tsee,tsann,,,,,chioh,cheah
xia,hsuan,,nyau,siou,lhuan,tsern,tseen,tsanq,,,,,soh,hia
xian,hsueh,,nye,syuan,lhuen,tserng,tseeng,tsaw,,,,,soon,ngiam
xiang,hsun,,nyou,syue,lhuo,char,chaa,tseh,,,,,tham,yeo
xiao,tsei,,nwan,jha,lhiu,chair,chae,tsenn,,,,,ngo,yeoh
xie,chei,,nwen,jhai,lhiue,charn,chaan,tsenq,,,,,siau,yap
xin,,,nwo,jhan,lhiun,charng,chaang,chah,,,,,him,teo
xing,,,nywe,jhang,mha,chaur,cheen,chay,,,,,chhi,chew
xiong,,,pwo,jhao,mhai,cher,cheeng,chann,,,,,giam,
xiu,,,chyung,jhe,mhan,cherng,chyy,chanq,,,,,iap,
